[dotenv@17.2.3] injecting env (6) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
🚀 Starting Tixr Attendance Sync V2...
⚠️  DRY RUN MODE - No database changes will be made

🧪 TEST MODE - Only syncing events: 155673

📋 Processing 1 event(s)
🗂️  Fetching all orders for 1 event(s)...
  - Fetching page 1...   - Fetching page 2...
  - Found 1642 total orders in the database.
⚙️  Processing serial numbers...
  - Found 2552 total serials (1538 unique) to check.
📡 Calling Tixr API (50 concurrent)...
  - Progress: 3% (50/1538)    - Progress: 7% (100/1538)    - Progress: 10% (150/1538)    - Progress: 13% (200/1538)    - Progress: 16% (250/1538)    - Progress: 20% (300/1538)    - Progress: 23% (350/1538)    - Progress: 26% (400/1538)    - Progress: 29% (450/1538)    - Progress: 33% (500/1538)    - Progress: 36% (550/1538)    - Progress: 39% (600/1538)    - Progress: 42% (650/1538)    - Progress: 46% (700/1538)    - Progress: 49% (750/1538)    - Progress: 52% (800/1538)    - Progress: 55% (850/1538)    - Progress: 59% (900/1538)    - Progress: 62% (950/1538)    - Progress: 65% (1000/1538)    - Progress: 68% (1050/1538)    - Progress: 72% (1100/1538)    - Progress: 75% (1150/1538)    - Progress: 78% (1200/1538)    - Progress: 81% (1250/1538)    - Progress: 85% (1300/1538)    - Progress: 88% (1350/1538)    - Progress: 91% (1400/1538)    - Progress: 94% (1450/1538)    - Progress: 98% (1500/1538)    - Progress: 100% (1538/1538) 
🧮 Aggregating attendance data...
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 101.94 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: PROMOTER | Gross: 71.04 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: PROMOTER | Gross: 124.95 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 124.95 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 124.95 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 124.95 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: AMPLIFIER | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: AMPLIFIER | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: ORGANIC | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 37.24 | Count: 1
Ticket: "COMP - VIP/Line-Bypass" | Category: VIP | Ref: BACKSTAGE | Gross: 0 | Count: 1
Ticket: "COMP - VIP/Line-Bypass" | Category: VIP | Ref: BACKSTAGE | Gross: 0 | Count: 1
Ticket: "COMP - VIP/Line-Bypass" | Category: VIP | Ref: BACKSTAGE | Gross: 0 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 39.64 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 84.8 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 84.8 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 120.45 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 120.45 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 120.45 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 38.48 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: SOCIAL | Gross: 38.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 79.28 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 79.28 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 38.48 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 38.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 79.28 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 79.28 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: DIRECT | Gross: 284.16 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: DIRECT | Gross: 284.16 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 142.08 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 142.08 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 84.8 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 84.8 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: DIRECT | Gross: 84.8 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: SOCIAL | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: SOCIAL | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 89.3 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: PROMOTER | Gross: 142.08 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: PROMOTER | Gross: 142.08 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 142.08 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 142.08 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 38.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 284.16 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 284.16 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 284.16 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 284.16 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: DIRECT | Gross: 76.96 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: DIRECT | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 38.48 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: ORGANIC | Gross: 38.48 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 71.04 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 64.87 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 76.96 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: ORGANIC | Gross: 76.96 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: ORGANIC | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 44.1 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 135.92 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 135.92 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 135.92 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 135.92 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 129.45 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 129.45 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 129.45 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 129.45 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 129.45 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 76.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 39.64 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 148.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 148.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 148.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 67.96 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 67.96 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: SOCIAL | Gross: 142.08 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: SOCIAL | Gross: 142.08 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 71.04 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOTER | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 142.08 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 142.08 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 38.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 33.98 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 44.65 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: ORGANIC | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 38.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "VIP/Line-Bypass" | Category: VIP | Ref: REFERRING_SITE | Gross: 71.04 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 101.94 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 160.6 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: PROMOCODE | Gross: 39.64 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 89.3 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 55.24 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 55.24 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 55.24 | Count: 1
Ticket: "Vestiare Prépayé / Prepaid Coat Check" | Category: OUTLET | Ref: REFERRING_SITE | Gross: 55.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 55.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 74.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 74.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 44.65 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 74.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: ORGANIC | Gross: 74.48 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: SOCIAL | Gross: 40.15 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: REFERRING_SITE | Gross: 37.24 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
Ticket: "Admission générale" | Category: GA | Ref: DIRECT | Gross: 80.3 | Count: 1
